table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
,,"April 1, 2020","July 1, 2022",Number,Percent
1,"Georgetown city, Texas","67,012","86,507","19,495",29.1
2,"Leander city, Texas","59,217","74,375","15,158",25.6
3,"Queen Creek town, Arizona","59,516","70,734","11,218",18.8
4,"New Braunfels city, Texas","90,391","104,707","14,316",15.8
5,"Buckeye city, Arizona","91,535","105,567","14,032",15.3
6,"Maricopa city, Arizona","58,143","66,290","8,147",14.0
7,"North Port city, Florida","74,798","85,099","10,301",13.8
8,"Port St. Lucie city, Florida","204,856","231,790","26,934",13.1
9,"Conroe city, Texas","89,990","101,405","11,415",12.7
10,"Casa Grande city, Arizona","53,660","60,032","6,372",11.9
11,"Cape Coral city, Florida","193,994","216,992","22,998",11.9
12,"Lehi city, Utah","75,900","84,373","8,473",11.2
13,"Fort Myers city, Florida","86,401","95,949","9,548",11.1
14,"Tuscaloosa city, Alabama","99,627","110,602","10,975",11.0
15,"Apex town, North Carolina","64,180","71,065","6,885",10.7
16,"Goodyear city, Arizona","95,288","105,406","10,118",10.6
17,"Nampa city, Idaho","100,310","110,951","10,641",10.6
18,"Palm Coast city, Florida","89,251","98,411","9,160",10.3
19,"Meridian city, Idaho","117,713","129,736","12,023",10.2
20,"Spring Hill city, Tennessee","50,689","55,800","5,111",10.1
21,"Caldwell city, Idaho","60,077","65,920","5,843",9.7
22,"Castle Rock town, Colorado","73,156","80,191","7,035",9.6
23,"Medford city, Massachusetts","59,666","65,399","5,733",9.6
24,"Winter Haven city, Florida","50,203","55,024","4,821",9.6
25,"Frisco city, Texas","200,536","219,587","19,051",9.5
26,"St. Cloud city, Florida","58,950","64,489","5,539",9.4
27,"Temple city, Texas","82,072","89,458","7,386",9.0
28,"Daytona Beach city, Florida","71,587","77,958","6,371",8.9
29,"North Las Vegas city, Nevada","259,520","280,543","21,023",8.1
30,"Palm Bay city, Florida","119,752","129,234","9,482",7.9
31,"Marana town, Arizona","51,897","55,962","4,065",7.8
32,"South Jordan city, Utah","77,486","83,513","6,027",7.8
33,"Surprise city, Arizona","143,158","154,198","11,040",7.7
34,"St. George city, Utah","95,345","102,519","7,174",7.5
35,"Denton city, Texas","139,861","150,353","10,492",7.5
36,"Lakeville city, Minnesota","69,496","74,553","5,057",7.3
37,"Texas City city, Texas","51,895","55,667","3,772",7.3
38,"Herriman city, Utah","55,178","59,179","4,001",7.3
39,"Bentonville city, Arkansas","54,210","57,868","3,658",6.7
40,"Menifee city, California","102,526","109,399","6,873",6.7
41,"Allen city, Texas","104,645","111,551","6,906",6.6
42,"Lakeland city, Florida","112,640","120,071","7,431",6.6
43,"Smyrna town, Tennessee","53,089","56,516","3,427",6.5
44,"Ankeny city, Iowa","67,901","72,222","4,321",6.4
45,"Murfreesboro city, Tennessee","152,775","162,398","9,623",6.3
46,"McKinney city, Texas","195,326","207,507","12,181",6.2
47,"Beaumont city, California","53,045","56,349","3,304",6.2
48,"Clarksville city, Tennessee","166,739","176,974","10,235",6.1
49,"Round Rock city, Texas","119,501","126,697","7,196",6.0
50,"Merced city, California","86,370","91,563","5,193",6.0
51,"Wylie city, Texas","57,530","60,943","3,413",5.9
52,"Commerce City city, Colorado","62,425","66,115","3,690",5.9
53,"Mansfield city, Texas","72,596","76,724","4,128",5.7
54,"Rapid City city, South Dakota","74,719","78,824","4,105",5.5
55,"Conway city, Arkansas","64,149","67,617","3,468",5.4
56,"Fayetteville city, Arkansas","94,308","99,285","4,977",5.3
57,"Bozeman city, Montana","53,317","56,123","2,806",5.3
58,"Frederick city, Maryland","78,188","82,175","3,987",5.1
59,"Bonita Springs city, Florida","53,638","56,370","2,732",5.1
60,"Auburn city, Alabama","76,143","80,006","3,863",5.1
61,"Madison city, Alabama","56,965","59,785","2,820",5.0
62,"Sioux Falls city, South Dakota","192,700","202,078","9,378",4.9
63,"Mooresville town, North Carolina","50,240","52,656","2,416",4.8
64,"Twin Falls city, Idaho","51,811","54,300","2,489",4.8
65,"Redmond city, Washington","73,252","76,732","3,480",4.8
66,"Roseville city, California","147,796","154,817","7,021",4.8
67,"Plantation city, Florida","91,750","96,042","4,292",4.7
68,"Sarasota city, Florida","54,840","57,376","2,536",4.6
69,"Parker town, Colorado","58,526","61,222","2,696",4.6
70,"Woodbury city, Minnesota","75,107","78,561","3,454",4.6
71,"Bryan city, Texas","83,967","87,792","3,825",4.6
72,"Tracy city, California","93,115","97,328","4,213",4.5
73,"Noblesville city, Indiana","69,609","72,748","3,139",4.5
74,"Suffolk city, Virginia","94,326","98,537","4,211",4.5
75,"Henderson city, Nevada","317,310","331,415","14,105",4.4
76,"Rogers city, Arkansas","69,913","72,999","3,086",4.4
77,"Lewisville city, Texas","125,688","131,215","5,527",4.4
78,"Kannapolis city, North Carolina","53,119","55,448","2,329",4.4
79,"Fargo city, North Dakota","125,952","131,444","5,492",4.4
80,"Concord city, North Carolina","105,318","109,896","4,578",4.3
81,"Wilmington city, North Carolina","115,456","120,324","4,868",4.2
82,"Spokane Valley city, Washington","102,983","107,325","4,342",4.2
83,"Lacey city, Washington","56,185","58,552","2,367",4.2
84,"Fort Worth city, Texas","918,937","956,709","37,772",4.1
85,"Manteca city, California","83,507","86,928","3,421",4.1
86,"Rowlett city, Texas","62,551","65,113","2,562",4.1
87,"Mount Pleasant town, South Carolina","90,838","94,545","3,707",4.1
88,"Bend city, Oregon","99,213","103,254","4,041",4.1
89,"Edinburg city, Texas","100,269","104,294","4,025",4.0
90,"Franklin city, Tennessee","83,547","86,895","3,348",4.0
91,"Killeen city, Texas","153,143","159,172","6,029",3.9
92,"Rio Rancho city, New Mexico","104,039","108,082","4,043",3.9
93,"Apopka city, Florida","54,889","57,017","2,128",3.9
94,"San Marcos city, Texas","67,690","70,301","2,611",3.9
95,"Broken Arrow city, Oklahoma","113,556","117,911","4,355",3.8
96,"Coeur d'Alene city, Idaho","54,640","56,733","2,093",3.8
97,"Missoula city, Montana","74,131","76,955","2,824",3.8
98,"Deltona city, Florida","93,702","97,267","3,565",3.8
99,"Grand Junction city, Colorado","65,574","68,034","2,460",3.8
100,"Richland city, Washington","60,568","62,821","2,253",3.7
101,"Clovis city, California","120,160","124,556","4,396",3.7
102,"New Haven city, Connecticut","134,024","138,915","4,891",3.6
103,"Bowling Green city, Kentucky","72,298","74,926","2,628",3.6
104,"Peoria city, Arizona","190,966","197,866","6,900",3.6
105,"Logan city, Utah","52,783","54,680","1,897",3.6
106,"Port Orange city, Florida","62,622","64,870","2,248",3.6
107,"Reno city, Nevada","264,147","273,448","9,301",3.5
108,"Tampa city, Florida","384,661","398,173","13,512",3.5
109,"Folsom city, California","80,463","83,269","2,806",3.5
110,"Burlington city, North Carolina","57,306","59,287","1,981",3.5
